feature,importance_gain_mean,importance_gain_std,selected_in_n_folds
cos_elem_1703,0.9005945920944214,1.8011891841888428,1
cos_elem_2813,0.8978180170059205,1.795636034011841,1
cos_elem_1894,0.89718599319458,1.7943719863891598,1
cos_elem_1989,0.8963079929351807,1.7926159858703616,1
euc_elem_2911,0.8939654052257537,1.7879308104515075,1
euc_elem_3146,0.8921222001314163,1.7842444002628326,1
euc_elem_2253,0.8921138048171997,1.7842276096343994,1
euc_elem_1119,0.891243776679039,1.782487553358078,1
euc_elem_1083,0.8896690011024475,1.779338002204895,1
cos_elem_953,0.8839392006397248,1.7678784012794493,1
euc_elem_129,0.8797780036926269,1.7595560073852539,1
cos_elem_2968,0.8767743825912475,1.753548765182495,1
cos_elem_295,0.876442414522171,1.7528848290443417,1
euc_elem_240,0.8744765877723694,1.7489531755447387,1
cos_elem_2563,0.8720092087984085,1.744018417596817,1
cos_elem_3080,0.8689759969711304,1.7379519939422607,1
cos_elem_3136,0.8676199913024902,1.7352399826049805,1
cos_elem_835,0.8665198117494584,1.7330396234989167,1
euc_elem_324,0.866215991973877,1.732431983947754,1
cos_elem_132,0.865337586402893,1.730675172805786,1
cos_elem_1524,0.8645948052406311,1.7291896104812623,1
cos_elem_3192,0.8639580011367798,1.7279160022735596,1
euc_elem_616,0.8570909976959229,1.7141819953918458,1
cos_elem_1702,0.8556140184402465,1.711228036880493,1
cos_elem_1413,0.8543048083782196,1.7086096167564393,1
cos_elem_3142,0.852895300090313,1.705790600180626,1
cos_elem_2076,0.8528278231620788,1.7056556463241577,1
euc_elem_2767,0.8505367875099182,1.7010735750198367,1
cos_elem_649,0.8498074114322662,1.6996148228645322,1
euc_elem_3144,0.84653160572052,1.69306321144104,1
euc_elem_43,0.8455840110778808,1.6911680221557617,1
cos_elem_761,0.8450361981987953,1.6900723963975905,1
euc_elem_990,0.8443640232086181,1.6887280464172363,1
cos_elem_2054,0.8435238063335418,1.6870476126670835,1
cos_elem_2137,0.840776801109314,1.681553602218628,1
cos_elem_3,0.8359291911125183,1.6718583822250366,1
cos_elem_2589,0.8338260173797607,1.6676520347595214,1
euc_elem_2101,0.8325340032577515,1.665068006515503,1
cos_elem_1570,0.8322993993759156,1.6645987987518311,1
cos_elem_11,0.8301544189453125,1.660308837890625,1
cos_elem_768,0.8298334121704102,1.6596668243408206,1
euc_elem_1543,0.8274600028991699,1.6549200057983398,1
euc_elem_2812,0.8265279769897461,1.6530559539794922,1
cos_elem_1023,0.8255577802658081,1.0999529036642848,2
cos_elem_948,0.823416393995285,1.64683278799057,1
euc_elem_1930,0.8230006098747253,1.6460012197494507,1
euc_elem_3090,0.8205080151557922,1.6410160303115844,1
euc_elem_2853,0.8194480180740357,1.6388960361480713,1
euc_elem_837,0.818668007850647,1.637336015701294,1
cos_elem_627,0.8185781955718994,1.6371563911437985,1
cos_elem_2000,0.8185769975185394,1.6371539950370786,1
euc_elem_637,0.8180527955293655,1.636105591058731,1
euc_elem_2827,0.8134113907814026,1.6268227815628051,1
euc_elem_2881,0.8132309913635254,1.6264619827270508,1
cos_elem_2753,0.813126003742218,1.626252007484436,1
cos_elem_3011,0.8123800039291382,1.6247600078582765,1
cos_elem_10,0.8123570084571838,1.6247140169143677,1
cos_elem_577,0.8122564017772674,1.6245128035545349,1
euc_elem_1455,0.8119423985481262,1.6238847970962524,1
cos_elem_3237,0.8097724080085754,1.6195448160171508,1
euc_elem_261,0.8094798535108566,1.6189597070217132,1
cos_elem_588,0.8091781973838806,1.6183563947677615,1
euc_elem_2954,0.8088726222515106,1.6177452445030212,1
