feature,importance_split,importance_gain,importance_gain_norm,selected_in_n_folds
euc_elem_2848,8.0,11.082869037985802,0.00015302728748247142,1
cos_elem_97,7.0,11.080429881811142,0.00015299360870742906,1
euc_elem_1738,5.0,11.079982603589693,0.0001529874328902518,3
euc_elem_1853,11.5,11.070881888270378,0.00015286177429276303,2
euc_elem_2470,8.0,11.067547887563705,0.00015281573990556075,2
cos_elem_1613,7.0,11.061274945735931,0.00015272912593681766,1
euc_elem_1710,10.5,11.056502439081669,0.00015266322930434004,2
cos_elem_1510,8.0,11.05183844268322,0.00015259883093283205,2
euc_elem_1104,6.0,11.041659377515316,0.0001524582829640333,2
euc_elem_1517,7.0,11.040545016527176,0.00015244289636705133,1
euc_elem_2312,6.0,11.03961005806923,0.00015242998687978426,2
cos_elem_1611,7.75,11.030056543648243,0.000152298076235279,4
euc_elem_1868,7.0,11.010633170604706,0.00015202988700734304,1
euc_elem_643,10.5,11.00978197157383,0.00015201813403269756,2
cos_elem_2495,7.0,11.00826664765676,0.00015199721111933533,3
cos_elem_1663,4.5,11.008252501487732,0.00015199701579537482,2
cos_elem_868,5.0,11.005289405584335,0.0001519561026954281,2
cos_elem_1443,8.333333333333334,11.001149371266365,0.00015189893895744728,3
euc_elem_3018,5.0,10.971949934959412,0.0001514957662303533,1
euc_elem_2868,8.0,10.970284134149551,0.00015147276559951075,2
cos_elem_819,10.333333333333334,10.96570340792338,0.00015140951698521346,3
euc_elem_1683,6.0,10.957749605178833,0.0001512996944424227,2
euc_elem_2798,6.5,10.940423086285591,0.00015106045763662278,2
euc_elem_1261,7.0,10.934294939041138,0.00015097584292657814,1
euc_elem_832,9.0,10.933641999959946,0.00015096682743644254,1
cos_elem_696,8.0,10.932082951068878,0.00015094530078824025,1
euc_elem_1566,7.75,10.930605702102184,0.0001509249035967247,4
euc_elem_3199,7.0,10.922044267257055,0.00015080669114227654,3
cos_elem_3049,2.5,10.9207424223423,0.0001507887158512806,2
cos_elem_3115,8.666666666666666,10.912964979807535,0.00015068132841120828,3
euc_elem_2402,5.5,10.911628618836403,0.00015066287653797862,2
cos_elem_410,7.5,10.899098485708237,0.000150489866076714,2
euc_elem_1876,7.0,10.893648579716682,0.0001504146162178495,2
cos_elem_2855,6.333333333333333,10.891563286383947,0.0001503858234222999,3
cos_elem_769,5.0,10.87447988986969,0.00015014994354132285,1
euc_elem_1432,6.0,10.874317198991776,0.00015014769717861117,1
cos_elem_1345,6.0,10.861990213394165,0.0001499774916873821,1
euc_elem_2830,9.0,10.85567332804203,0.00014989027096615353,2
euc_elem_1365,9.0,10.839394927024841,0.00014966550610213912,1
euc_elem_1541,5.0,10.835919976234436,0.00014961752553936534,1
euc_elem_346,6.0,10.829827010631561,0.0001495333966016565,1
cos_elem_1114,4.0,10.816572844982147,0.0001493503890239055,1
cos_elem_846,9.0,10.8005960136652,0.0001491297880991253,1
cos_elem_259,10.5,10.800341412425041,0.00014912627267933305,2
cos_elem_1566,5.666666666666667,10.765079746643702,0.0001486393954052141,3
euc_elem_1590,8.0,10.759106025099754,0.00014855691293601657,2
cos_elem_471,7.0,10.755571618676186,0.00014850811143651265,2
cos_elem_266,9.0,10.755485951900482,0.00014850692858807616,1
cos_elem_2183,8.5,10.745609942823648,0.00014837056508192986,2
euc_elem_290,10.0,10.732437878847122,0.00014818869112727382,1
euc_elem_2289,8.333333333333334,10.724644030133883,0.00014808107715804365,3
cos_elem_1238,8.5,10.703258961439133,0.00014778580171593859,2
cos_elem_720,7.0,10.702959805727005,0.00014778167110797013,1
euc_elem_306,7.5,10.689257942140102,0.00014759248191779093,2
cos_elem_1624,6.0,10.681134030222893,0.00014748031058380004,2
euc_elem_3008,9.0,10.665130853652954,0.0001472593458955765,1
euc_elem_1504,10.0,10.659245997667313,0.0001471780904421717,1
euc_elem_2947,5.5,10.658655971288681,0.00014716994362243074,2
euc_elem_1047,5.0,10.652535140514374,0.00014708542993492607,1
cos_elem_2920,7.0,10.647373646497726,0.00014701416233932267,3
euc_elem_1455,10.0,10.645145490765572,0.0001469833969638038,2
euc_elem_1772,4.0,10.643438994884491,0.00014695983443366051,1
cos_elem_885,7.0,10.635920584201813,0.00014685602358928382,3
cos_elem_2177,4.0,10.633643716573715,0.0001468245856217422,1
cos_elem_750,11.0,10.627140045166016,0.00014673478584239025,2
euc_elem_1668,7.5,10.625123143196106,0.00014670693736412027,2
cos_elem_332,7.0,10.624312475323677,0.00014669574402554144,2
cos_elem_911,12.0,10.6233179718256,0.00014668201236705291,1
cos_elem_2390,8.0,10.615522980690002,0.00014657438262376696,1
cos_elem_168,6.0,10.606255173683167,0.00014644641689916024,2
euc_elem_1310,6.0,10.605953405300776,0.000146442250216612,3
euc_elem_1929,11.0,10.60264202952385,0.00014639652822429742,1
euc_elem_2095,7.0,10.584103971719742,0.00014614056303232116,2
cos_elem_2740,7.75,10.581504605710506,0.00014610467215170133,4
cos_elem_2186,8.0,10.569045901298523,0.0001459326479461299,1
euc_elem_3103,9.0,10.551131963729858,0.00014568530032658595,1
euc_elem_305,5.0,10.548951432108879,0.00014565519252344542,2
cos_elem_1193,7.0,10.546614035964012,0.00014562291880527775,1
euc_elem_3160,8.0,10.545522838830948,0.00014560785204442285,1
cos_elem_1879,5.0,10.544306755065918,0.00014559106090493757,1
cos_elem_2579,6.5,10.536084473133087,0.000145477531321868,2
euc_elem_3061,7.0,10.536034040153027,0.00014547683496588724,1
euc_elem_646,8.0,10.534468114376068,0.00014545521336472734,1
cos_elem_947,8.0,10.52508693933487,0.00014532568230512242,1
euc_elem_116,10.0,10.521077007055283,0.00014527031495776584,1
cos_elem_425,9.0,10.514217138290405,0.00014517559696498105,1
euc_elem_2912,12.0,10.512411117553711,0.0001451506602402461,1
euc_elem_172,6.0,10.497504889965057,0.0001449448417318193,1
cos_elem_555,8.5,10.48231951892376,0.00014473516893573192,2
cos_elem_1577,4.0,10.476910084486008,0.00014466047788993987,2
euc_elem_1177,6.0,10.468910932540894,0.00014455002918571669,1
euc_elem_218,12.0,10.465662971138954,0.00014450518279066472,1
cos_elem_597,6.0,10.440397888422012,0.00014415633385426183,1
cos_elem_924,9.0,10.437111794948578,0.0001441109609486604,1
cos_elem_1721,8.0,10.428332410752773,0.00014398973914727975,2
euc_elem_1301,11.0,10.42481404542923,0.0001439411591360941,1
euc_elem_182,7.0,10.414693295955658,0.00014380141636426112,1
cos_elem_2554,7.0,10.413179159164429,0.00014378050984220034,1
euc_elem_1163,8.0,10.412728011608124,0.00014377428059898193,1
euc_elem_2336,4.5,10.408964991569519,0.00014372232250516376,2
euc_elem_2074,6.0,10.407037019729614,0.0001436957019342636,1
cos_elem_1086,9.0,10.401663959026337,0.00014362151312069166,1
euc_elem_257,8.0,10.39899942278862,0.00014358472239877127,2
euc_elem_648,9.0,10.396613955497742,0.00014355178493576868,1
euc_elem_1045,7.666666666666667,10.394362658262253,0.00014352070003274556,3
cos_elem_2934,7.5,10.393235862255096,0.00014350514173859535,2
euc_elem_682,7.5,10.389264941215515,0.00014345031304095293,2
cos_elem_21,4.0,10.379354000091553,0.0001433134672087591,2
euc_elem_3195,9.0,10.372227996587753,0.00014321507454680133,1
euc_elem_2041,7.5,10.371796406805515,0.0001432091153485599,2
euc_elem_1813,5.333333333333333,10.370694821079573,0.0001431939051466715,3
cos_elem_311,8.0,10.360824912786484,0.0001430576258774123,2
cos_elem_3151,8.0,10.341525048017502,0.0001427911419963655,1
euc_elem_944,7.5,10.32653945684433,0.0001425842276711405,2
cos_elem_3002,7.5,10.319632068276405,0.00014248885354621726,2
euc_elem_2537,9.0,10.31030786037445,0.00014236010906333395,1
euc_elem_2208,6.0,10.306057840585709,0.00014230142669527666,1
cos_elem_287,7.0,10.284878075122833,0.00014200898598816462,1
euc_elem_1979,9.0,10.28394290804863,0.0001419960736204178,1
cos_elem_71,10.0,10.281689912080765,0.00014196496526205953,1
cos_elem_2787,6.0,10.281236052513123,0.00014195869857260428,1
cos_elem_1003,5.333333333333333,10.27748653292656,0.000141906926886976,3
cos_elem_2208,6.0,10.276252150535583,0.0001418898830882665,1
euc_elem_213,7.0,10.271240949630737,0.00014182069067257793,2
cos_elem_1445,6.5,10.260903507471085,0.00014167795590527382,2
euc_elem_919,7.0,10.257819473743439,0.00014163537295006353,2
cos_elem_2114,7.0,10.250890016555786,0.00014153969411153194,1
cos_elem_3176,6.0,10.247099995613098,0.0001414873632013341,1
cos_elem_1977,6.5,10.241383850574493,0.00014140843723305674,2
euc_elem_418,8.0,10.227049686014652,0.00014121051751448912,4
euc_elem_1492,8.0,10.21951299905777,0.00014110645431951108,1
euc_elem_1414,9.25,10.218118786811829,0.00014108720366181224,4
euc_elem_2170,4.0,10.215687334537506,0.00014105363125877226,1
euc_elem_1912,7.666666666666667,10.213134706020355,0.00014101838570849178,3
euc_elem_3063,5.0,10.187289953231812,0.00014066153294759292,1
euc_elem_3027,6.5,10.174452990293503,0.00014048428591785454,2
euc_elem_150,5.0,10.165650010108948,0.00014036273831363876,1
cos_elem_2951,3.5,10.164295360445976,0.0001403440339183506,2
euc_elem_1051,4.5,10.161566063761711,0.00014030634901321488,2
euc_elem_1705,8.0,10.15460255742073,0.00014021020003923758,2
euc_elem_1134,5.0,10.153521120548248,0.0001401952680436855,1
cos_elem_2430,6.0,10.152563035488129,0.00014018203923466275,1
cos_elem_3093,7.0,10.148019075393677,0.00014011929827063084,1
euc_elem_752,7.0,10.147133499383926,0.00014010707063407147,2
euc_elem_267,5.5,10.139858976006508,0.00014000662727627677,2
cos_elem_753,7.25,10.136074487119913,0.00013995437275022958,4
euc_elem_3185,8.0,10.130333989858627,0.00013987511053737797,1
cos_elem_3096,3.6666666666666665,10.114814082781473,0.00013966081861767227,3
cos_elem_3060,9.0,10.114286050200462,0.00013965352778049848,1
euc_elem_1114,6.0,10.112370908260345,0.0001396270843591032,1
cos_elem_1490,8.0,10.105329036712646,0.00013952985335348084,1
euc_elem_331,6.0,10.103847488760948,0.0001395093968035075,2
cos_elem_211,6.0,10.099150121212006,0.000139444537658113,1
cos_elem_1127,5.0,10.097270011901855,0.000139418577951568,1
euc_elem_1115,7.0,10.088156938552856,0.00013929274871994518,2
euc_elem_3119,5.5,10.081757664680481,0.00013920439041496197,2
cos_elem_500,5.0,10.077379822731018,0.00013914394313580916,1
euc_elem_1251,4.0,10.058574080467224,0.0001388842818768103,1
euc_elem_342,8.5,10.048348098993301,0.00013874308610868952,2
cos_elem_1046,8.0,10.045347526669502,0.00013870165555112974,2
euc_elem_44,7.0,10.041710019111633,0.00013865143047738125,1
euc_elem_12,8.0,10.03069806843996,0.00013849938239890975,1
cos_elem_2896,8.0,10.02862611413002,0.00013847077378260732,1
cos_elem_1316,5.5,10.024039432406425,0.00013840744293747135,2
